Date : 2025-07-31 13:24:17
Directory : /Users/jasonkline/Projects/side-projects/codebase-intelligence
Total : 119 files,  61586 codes, 2227 comments, 8500 blanks, all 72313 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /Users/jasonkline/Projects/side-projects/codebase-intelligence/src/mcp/tools/SecurityTools.ts                             | TypeScript         |        326 |          7 |         37 |        370 |
| /Users/jasonkline/Projects/side-projects/codebase-intelligence/src/monitoring/PerformanceMonitor.ts                       | TypeScript         |        442 |          8 |         70 |        520 |
| /Users/jasonkline/Projects/side-projects/codebase-intelligence/src/parser/ASTParser.ts                                    | TypeScript         |        417 |         14 |         57 |        488 |
| /Users/jasonkline/Projects/side-projects/codebase-intelligence/src/parser/SystemAnalyzer.ts                               | TypeScript         |        460 |         15 |         74 |        549 |
| /Users/jasonkline/Projects/side-projects/codebase-intelligence/src/patterns/PatternLearner.ts                             | TypeScript         |        349 |         27 |         68 |        444 |
| /Users/jasonkline/Projects/side-projects/codebase-intelligence/src/patterns/PatternMatcher.ts                             | TypeScript         |        413 |         22 |         82 |        517 |
| /Users/jasonkline/Projects/side-projects/codebase-intelligence/src/patterns/PatternRegistry.ts                            | TypeScript         |        587 |         56 |        121 |        764 |
| /Users/jasonkline/Projects/side-projects/codebase-intelligence/src/patterns/PatternVisualizer.ts                          | TypeScript         |        508 |         14 |         90 |        612 |
| /Users/jasonkline/Projects/side-projects/codebase-intelligence/src/patterns/categories/APIPatterns.ts                     | TypeScript         |        536 |         16 |         78 |        630 |
| /Users/jasonkline/Projects/side-projects/codebase-intelligence/src/patterns/categories/AuthPatterns.ts                    | TypeScript         |        431 |         15 |         58 |        504 |
| /Users/jasonkline/Projects/side-projects/codebase-intelligence/src/patterns/categories/ComponentPatterns.ts               | TypeScript         |        673 |         37 |        114 |        824 |
| /Users/jasonkline/Projects/side-projects/codebase-intelligence/src/patterns/categories/DataAccessPatterns.ts              | TypeScript         |        612 |         20 |         70 |        702 |
| /Users/jasonkline/Projects/side-projects/codebase-intelligence/src/patterns/categories/StylePatterns.ts                   | TypeScript         |        738 |         32 |        117 |        887 |
| /Users/jasonkline/Projects/side-projects/codebase-intelligence/src/production/ConnectionPoolManager.ts                    | TypeScript         |        326 |         13 |         55 |        394 |
| /Users/jasonkline/Projects/side-projects/codebase-intelligence/src/production/GracefulShutdown.ts                         | TypeScript         |        181 |         21 |         35 |        237 |
| /Users/jasonkline/Projects/side-projects/codebase-intelligence/src/production/MemoryManager.ts                            | TypeScript         |        318 |         24 |         55 |        397 |
| /Users/jasonkline/Projects/side-projects/codebase-intelligence/src/realtime/FileWatcher.ts                                | TypeScript         |        367 |         19 |         76 |        462 |
| /Users/jasonkline/Projects/side-projects/codebase-intelligence/src/realtime/IncrementalAnalyzer.ts                        | TypeScript         |        486 |         40 |         89 |        615 |
| /Users/jasonkline/Projects/side-projects/codebase-intelligence/src/realtime/InstantValidator.ts                           | TypeScript         |        569 |         33 |         98 |        700 |
| /Users/jasonkline/Projects/side-projects/codebase-intelligence/src/realtime/PerformanceOptimizer.ts                       | TypeScript         |        410 |         36 |         93 |        539 |
| /Users/jasonkline/Projects/side-projects/codebase-intelligence/src/scanner/FileScanner.ts                                 | TypeScript         |        497 |         32 |         82 |        611 |
| /Users/jasonkline/Projects/side-projects/codebase-intelligence/src/security/AuthPatternAnalyzer.ts                        | TypeScript         |        547 |         31 |         82 |        660 |
| /Users/jasonkline/Projects/side-projects/codebase-intelligence/src/security/OWASPScanner.ts                               | TypeScript         |        714 |         39 |         93 |        846 |
| /Users/jasonkline/Projects/side-projects/codebase-intelligence/src/security/RLSAnalyzer.ts                                | TypeScript         |        546 |         30 |         78 |        654 |
| /Users/jasonkline/Projects/side-projects/codebase-intelligence/src/security/SecurityScanner.ts                            | TypeScript         |        531 |         38 |         81 |        650 |
| /Users/jasonkline/Projects/side-projects/codebase-intelligence/src/security/VulnerabilityDatabase.ts                      | TypeScript         |        387 |         11 |         39 |        437 |
| /Users/jasonkline/Projects/side-projects/codebase-intelligence/src/telemetry/TelemetryManager.ts                          | TypeScript         |        399 |         15 |         73 |        487 |
| /Users/jasonkline/Projects/side-projects/codebase-intelligence/src/ui/WebServer.ts                                        | TypeScript         |        618 |         16 |         84 |        718 |
| /Users/jasonkline/Projects/side-projects/codebase-intelligence/src/utils/logger.ts                                        | TypeScript         |         36 |          1 |          4 |         41 |
| /Users/jasonkline/Projects/side-projects/codebase-intelligence/test-analysis.ts                                           | TypeScript         |        106 |          7 |         21 |        134 |
| /Users/jasonkline/Projects/side-projects/codebase-intelligence/test-project/package.json                                  | JSON               |         21 |          0 |          0 |         21 |
| /Users/jasonkline/Projects/side-projects/codebase-intelligence/test-project/src/api/insecure/route.ts                     | TypeScript         |         32 |         17 |         11 |         60 |
| /Users/jasonkline/Projects/side-projects/codebase-intelligence/test-project/src/api/users/route.ts                        | TypeScript         |         53 |         18 |         16 |         87 |
| /Users/jasonkline/Projects/side-projects/codebase-intelligence/test-project/src/components/UserCard.tsx                   | TypeScript JSX     |         70 |         12 |         12 |         94 |
| /Users/jasonkline/Projects/side-projects/codebase-intelligence/test-project/src/lib/auth.ts                               | TypeScript         |         63 |         23 |         12 |         98 |
| /Users/jasonkline/Projects/side-projects/codebase-intelligence/test-project/src/lib/database.ts                           | TypeScript         |         67 |         23 |          7 |         97 |
| /Users/jasonkline/Projects/side-projects/codebase-intelligence/tests/integration/final-integration.test.ts                | TypeScript         |        438 |         42 |        109 |        589 |
| /Users/jasonkline/Projects/side-projects/codebase-intelligence/tests/integration/phase6-integration.test.ts               | TypeScript         |        522 |         27 |         92 |        641 |
| /Users/jasonkline/Projects/side-projects/codebase-intelligence/tests/ping.test.ts                                         | TypeScript         |         37 |          5 |          9 |         51 |
| /Users/jasonkline/Projects/side-projects/codebase-intelligence/tests/security/AuthPatternAnalyzer.test.ts                 | TypeScript         |        152 |         10 |         44 |        206 |
| /Users/jasonkline/Projects/side-projects/codebase-intelligence/tests/security/OWASPScanner.test.ts                        | TypeScript         |        197 |         10 |         55 |        262 |
| /Users/jasonkline/Projects/side-projects/codebase-intelligence/tests/security/SecurityScanner.test.ts                     | TypeScript         |        206 |         13 |         59 |        278 |
| /Users/jasonkline/Projects/side-projects/codebase-intelligence/tests/security/integration.test.ts                         | TypeScript         |        235 |         24 |         54 |        313 |
| /Users/jasonkline/Projects/side-projects/codebase-intelligence/tests/security/vulnerable-examples/auth-bypass.ts          | TypeScript         |         39 |         14 |         16 |         69 |
| /Users/jasonkline/Projects/side-projects/codebase-intelligence/tests/security/vulnerable-examples/hardcoded-secrets.ts    | TypeScript         |         75 |         13 |         13 |        101 |
| /Users/jasonkline/Projects/side-projects/codebase-intelligence/tests/security/vulnerable-examples/rls-bypass.ts           | TypeScript         |         53 |         14 |         12 |         79 |
| /Users/jasonkline/Projects/side-projects/codebase-intelligence/tests/security/vulnerable-examples/sql-injection.ts        | TypeScript         |         29 |          7 |          6 |         42 |
| /Users/jasonkline/Projects/side-projects/codebase-intelligence/tests/security/vulnerable-examples/xss-vulnerabilities.tsx | TypeScript JSX     |         60 |         10 |         15 |         85 |
| /Users/jasonkline/Projects/side-projects/codebase-intelligence/tsconfig.json                                              | JSON with Comments |         47 |          0 |          0 |         47 |
| /Users/jasonkline/Projects/side-projects/codebase-intelligence/validate-system.js                                         | JavaScript         |        602 |         20 |         89 |        711 |
| Total                                                                                                                     |                    |     61,586 |      2,227 |      8,500 |     72,313 |
+---------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
