"filename", "language", "JavaScript", "comment", "blank", "total"
"/Users/jasonkline/Projects/side-projects/codebase-intelligence/deployment/build-binaries.js", "JavaScript", 295, 23, 66, 384
"Total", "-", 295, 23, 66, 384
